time,treatment,species,N,Species,RelN
16,fungicide,Perennial_biomass,664.8369729369584,competitor,0.9242537130787016
17,fungicide,Annual_biomass,630.7209927224382,invader,0.8768258131992829
17,fungicide,Perennial_biomass,664.8369446666278,competitor,0.9242536737774005
18,fungicide,Annual_biomass,630.7209972343143,invader,0.876825819471675
18,fungicide,Perennial_biomass,664.8369338613991,competitor,0.9242536587560145
19,fungicide,Annual_biomass,630.7209989588027,invader,0.8768258218690521
19,fungicide,Perennial_biomass,664.8369297315247,competitor,0.9242536530146797
20,fungicide,Annual_biomass,630.7209996179193,invader,0.8768258227853534
20,fungicide,Perennial_biomass,664.8369281530412,competitor,0.9242536508202781
21,fungicide,Annual_biomass,630.720999869842,invader,0.8768258231355752
21,fungicide,Perennial_biomass,664.8369275497296,competitor,0.9242536499815567
22,fungicide,Annual_biomass,630.7209999661285,invader,0.8768258232694324
22,fungicide,Perennial_biomass,664.8369273191362,competitor,0.9242536496609867
23,fungicide,Annual_biomass,630.721000002932,invader,0.8768258233205964
23,fungicide,Perennial_biomass,664.8369272309989,competitor,0.9242536495384586
24,fungicide,Annual_biomass,630.7210000169968,invader,0.8768258233401491
24,fungicide,Perennial_biomass,664.8369271973146,competitor,0.9242536494916308
25,fungicide,Annual_biomass,630.7210000223736,invader,0.876825823347624
25,fungicide,Perennial_biomass,664.8369271844412,competitor,0.9242536494737342
26,fungicide,Annual_biomass,630.7210000244283,invader,0.8768258233504805
26,fungicide,Perennial_biomass,664.8369271795184,competitor,0.9242536494668906
27,fungicide,Annual_biomass,630.7210000252137,invader,0.8768258233515723
27,fungicide,Perennial_biomass,664.8369271776371,competitor,0.9242536494642752
28,fungicide,Annual_biomass,630.721000025514,invader,0.8768258233519898
28,fungicide,Perennial_biomass,664.8369271769203,competitor,0.9242536494632788
29,fungicide,Annual_biomass,630.7210000256276,invader,0.8768258233521478
29,fungicide,Perennial_biomass,664.8369271766433,competitor,0.9242536494628936
30,fungicide,Annual_biomass,630.7210000256714,invader,0.8768258233522086
30,fungicide,Perennial_biomass,664.8369271765408,competitor,0.9242536494627512
31,fungicide,Annual_biomass,630.7210000256877,invader,0.8768258233522312
31,fungicide,Perennial_biomass,664.8369271764989,competitor,0.9242536494626928
32,fungicide,Annual_biomass,630.7210000256955,invader,0.8768258233522421
32,fungicide,Perennial_biomass,664.8369271764841,competitor,0.9242536494626723
33,fungicide,Annual_biomass,630.7210000256999,invader,0.8768258233522483
33,fungicide,Perennial_biomass,664.8369271764778,competitor,0.9242536494626636
34,fungicide,Annual_biomass,630.7210000256982,invader,0.8768258233522459
34,fungicide,Perennial_biomass,664.8369271764744,competitor,0.9242536494626589
35,fungicide,Annual_biomass,630.7210000257005,invader,0.8768258233522491
35,fungicide,Perennial_biomass,664.836927176475,competitor,0.9242536494626598
36,fungicide,Annual_biomass,630.7210000256999,invader,0.8768258233522483
36,fungicide,Perennial_biomass,664.836927176475,competitor,0.9242536494626598
37,fungicide,Annual_biomass,630.7210000256994,invader,0.8768258233522476
37,fungicide,Perennial_biomass,664.836927176475,competitor,0.9242536494626598
38,fungicide,Annual_biomass,630.7210000256994,invader,0.8768258233522476
38,fungicide,Perennial_biomass,664.8369271764728,competitor,0.9242536494626566
39,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
39,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
40,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
40,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
41,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
41,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
42,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
42,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
43,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
43,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
44,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
44,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
45,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
45,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
46,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
46,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
47,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
47,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
48,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
48,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
49,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
49,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
50,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
50,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
51,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
51,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
52,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
52,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
53,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
53,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
54,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
54,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
55,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
55,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
56,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
56,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
57,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
57,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
58,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
58,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
59,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
59,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
60,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
60,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
61,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
61,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
62,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
62,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
63,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
63,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
64,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
64,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
65,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
65,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
66,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
66,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
67,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
67,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
68,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
68,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
69,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
69,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
70,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
70,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
71,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
71,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
72,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
72,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
73,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
73,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
74,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
74,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
75,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
75,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
76,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
76,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
77,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
77,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
78,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
78,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
79,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
79,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
80,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
80,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
81,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
81,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
82,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
82,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
83,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
83,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
84,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
84,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
85,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
85,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
86,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
86,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
87,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
87,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
88,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
88,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
89,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
89,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
90,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
90,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
91,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
91,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
92,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
92,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
93,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
93,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
94,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
94,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
95,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
95,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
96,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
96,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
97,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
97,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
98,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
98,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
99,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
99,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
100,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
100,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
101,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
101,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
102,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
102,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
103,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
103,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
104,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
104,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
105,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
105,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
106,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
106,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
107,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
107,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
108,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
108,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
109,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
109,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
110,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
110,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
111,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
111,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
112,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
112,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
113,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
113,fungicide,Perennial_biomass,664.8369271764722,competitor,0.9242536494626558
114,fungicide,Annual_biomass,630.7210000256988,invader,0.8768258233522468
114,fungicide,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
101,control,Annual_biomass,499.32872597860296,invader,0.6941648070411128
101,control,Perennial_biomass,88.666109450752,competitor,0.12326327238101845
102,control,Annual_biomass,499.6537341138973,invader,0.6946166320569503
102,control,Perennial_biomass,79.99323987281231,competitor,0.11120628362022916
103,control,Annual_biomass,500.1126339999054,invader,0.6952545928516106
103,control,Perennial_biomass,77.88684126804466,competitor,0.10827797666539785
104,control,Annual_biomass,500.2986770580137,invader,0.6955132291703603
104,control,Perennial_biomass,77.77574918492249,competitor,0.10812353689369603
105,control,Annual_biomass,500.3715485927646,invader,0.6956145348878714
105,control,Perennial_biomass,77.83909674951583,competitor,0.10821160242580873
106,control,Annual_biomass,500.3997268935281,invader,0.6956537082494157
106,control,Perennial_biomass,77.88024097680614,competitor,0.10826880096679363
107,control,Annual_biomass,500.41066609763175,invader,0.6956689158874119
107,control,Perennial_biomass,77.89874577541597,competitor,0.10829452626415392
108,control,Annual_biomass,500.4147534800224,invader,0.6956745981501397
108,control,Perennial_biomass,77.90614509070002,competitor,0.10830481276280533
109,control,Annual_biomass,500.4163536238142,invader,0.6956768226636688
109,control,Perennial_biomass,77.90906762100376,competitor,0.10830887565279906
110,control,Annual_biomass,500.41695801484514,invader,0.695677662885674
110,control,Perennial_biomass,77.91019843963633,competitor,0.10831044771236031
111,control,Annual_biomass,500.4172108421288,invader,0.6956780143651572
111,control,Perennial_biomass,77.91063766287512,competitor,0.10831105831875834
112,control,Annual_biomass,500.4173014807307,invader,0.6956781403705808
112,control,Perennial_biomass,77.91080580446084,competitor,0.10831129206852143
113,control,Annual_biomass,500.4173362246467,invader,0.6956781886714345
113,control,Perennial_biomass,77.91087033294215,competitor,0.10831138177575927
114,control,Annual_biomass,500.4173495594971,invader,0.6956782072094905
114,control,Perennial_biomass,77.9108950960287,competitor,0.1083114162013036
100,control,Annual_biomass,630.7210000256988,invader,0.8768258233522468
100,control,Perennial_biomass,664.8369271764727,competitor,0.9242536494626565
